raw_value,code,method,reviewed
Книга памяти Свердловской обл.,RU-SVE,manual,true
Книга памяти Нижегородской обл.,RU-NIZ,manual,true
Книга памяти Краснодарского края,RU-KDA,manual,true
Тюменская обл.,RU-TYU,manual,true
Азербайджан,AZ,manual,true
Книга памяти Омской обл.,RU-OMS,manual,true
Книга памяти Смоленской обл.,RU-SMO,manual,true
Киргизия,KG,manual,true
Хабаровский край,RU-KHA,manual,true
Книга памяти Хабаровского края,RU-KHA,manual,true
Рязанская обл.,RU-RYA,manual,true
УВД Мурманской обл.,RU-MUR,manual,true
Калмыкия,RU-KL,manual,true
Книга памяти Ставропольского края,RU-STA,manual,true
Иркутская обл.,RU-IRK,manual,true
Ульяновская обл.,RU-ULY,manual,true
Книга памяти Московской обл.,RU-MOS,manual,true
Курганская обл.,RU-KGN,manual,true
Одесский мартиролог,UA,manual,true
Томский мартиролог,RU-TOM,manual,true
Амурская обл.,RU-AMU,manual,true
Белгородская обл.,RU-BEL,manual,true
Книга памяти ссылки калмыцкого народа,RU-KL,manual,true
Книга памяти Кировской обл.,RU-KIR,manual,true
Книга памяти Иркутской обл.,RU-IRK,manual,true
Книга памяти Амурской обл.,RU-AMU,manual,true
Вологодская обл.,RU-VLG,manual,true
Электронная Книга памяти Москвы и Московской области,RU-MOW,manual,true
УВД Воронежской обл.,RU-VOR,manual,true
Книга памяти Красноярского края,RU-KYA,manual,true
ГУВД Тюменской обл.,RU-TYU,manual,true
Книга памяти Саратовской обл. - подготовительные материалы,RU-SAR,manual,true
Высланные в Киргизию,KG,manual,true
ДКНБ РК по г. Алматы,KZ,manual,true
Депортированные немцы Азербайджана,AZ,manual,true
УВД Омской обл.,RU-OMS,manual,true
Пензенская обл.,RU-PNZ,manual,true
Удмуртия,RU-UD,manual,true
Книга памяти Томской обл.,RU-TOM,manual,true
Богословлаг,RU-SVE,manual,true
МВД Республики Дагестан,RU-DA,manual,true
"Москва, расстрельные списки - Бутовский полигон",RU-MOW,manual,true
"Центр ""Возвращенные имена""",RU-SPE,manual,true
Высланные в Башкирскую АССР,RU-BA,manual,true
Книга памяти Челябинской обл.,RU-CHE,manual,true
Орловская обл.,RU-ORL,manual,true
Новосибирская обл.,RU-NVS,manual,true
Калужская обл.,RU-KLU,manual,true
Книга памяти Новосибирской обл.,RU-NVS,manual,true
Астраханская обл.,RU-AST,manual,true
Книга памяти Астраханской обл.,RU-AST,manual,true
УВД Оренбургской обл.,RU-ORE,manual,true
Прокуратура г. Москвы,RU-MOW,manual,true
Кемеровская обл.,RU-KEM,manual,true
Чувашия,RU-CU,manual,true
УВД Ставропольского края,RU-STA,manual,true
Книга памяти Калужской обл.,RU-KLU,manual,true
Мордовия,RU-MO,manual,true
Липецкая обл.,RU-LIP,manual,true
Книга памяти Липецкой обл.,RU-LIP,manual,true
Высланные в Тюменскую область,RU-TYU,manual,true
Книга памяти Оренбургской обл.,RU-ORE,manual,true
Рязанский мартиролог,RU-RYA,manual,true
Книга памяти Читинской обл.,RU-ZAB,manual,true
Высланные в Кировскую область,RU-KIR,manual,true
Карелия,RU-KR,manual,true
"Газета ""Челябинский рабочий""",RU-CHE,manual,true
Книга памяти Ульяновской обл.,RU-ULY,manual,true
Ярославская обл.,RU-YAR,manual,true
Тверская обл.,RU-TVE,manual,true
Бурятия,RU-BU,manual,true
Книга памяти Архангельской обл. (Поморский мемориал),RU-ARK,manual,true
Книга памяти Рязанской обл.,RU-RYA,manual,true
Высланные в Вологодскую область,RU-VLG,manual,true
Книга памяти Ярославской обл.,RU-YAR,manual,true
УВД Читинской обл.,RU-ZAB,manual,true
УВД Курганской обл.,RU-KGN,manual,true
Польские спецпереселенцы в Вологодской обл. (База данных),RU-VLG,manual,true
Костромская обл.,RU-KOS,manual,true
МВД Республики Коми,RU-KO,manual,true
Книга памяти Костромской обл.,RU-KOS,manual,true
Тамбовская обл.,RU-TAM,manual,true
Книга памяти Бурятии,RU-BU,manual,true
Книга памяти Чувашской Республики,RU-CU,manual,true
Книга памяти Республики Карелия,RU-KR,manual,true
Одесский академический центр (Украина),UA,manual,true
УВД Белгородской обл.,RU-BEL,manual,true
Книга памяти Республики Мордовия,RU-MO,manual,true
Ивановская обл.,RU-IVA,manual,true
БД по документам государственного и муниципальных архивов Челябинской обл.,RU-CHE,manual,true
Книга памяти Белгородской обл.,RU-BEL,manual,true
УВД Ульяновской обл.,RU-ULY,manual,true
Книга памяти Курганской обл.,RU-KGN,manual,true
ДКНБ РК по Восточно-Казахстанской обл.,KZ,manual,true
Владимирская обл.,RU-VLA,manual,true
Книга памяти Владимирской обл.,RU-VLA,manual,true
Ингушетия,RU-IN,manual,true
Высланные в Свердловскую область,RU-SVE,manual,true
Книга памяти Орловской обл.,RU-ORL,manual,true
Книга памяти Республики Дагестан,RU-DA,manual,true
Книга памяти Ивановской обл.,RU-IVA,manual,true
Магаданская обл.,RU-MAG,manual,true
